C01 TITLE: ethane event sampling data 
C02 FILE NAME: gmi513n00.noaa.as.fl.ethane.nl.ev.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 1150
C05 HEADER LINES: 39
C06 DATA VERSION: 201512
C07 STATION NAME: Guam 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERRITORY: United States of America
C11 CONTRIBUTOR: NOAA/ESRL
C12 LATITUDE: 13.43
C13 LONGITUDE: 144.78
C14 ALTITUDE: 2
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: detlev.helmig@colorado.edu jacques.hueber@colorado.edu
C18 PARAMETER: ethane
C19 COVERING PERIOD: 2005-06-01 2015-06-26
C20 TIME INTERVAL: event
C21 MEASUREMENT UNIT: pmol/mol
C22 MEASUREMENT METHOD: Gas Chromatography (FID)
C23 SAMPLING TYPE: flask
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: 
C26 DATA POLICY: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31 # comment:  ************ COLLABORATORS ***************
C32 # comment: 
C33 # comment: NOAA thanks the following collaborators without
C34 # comment: whom these measurements would not be possible.
C35 # comment: 
C36 # collaborator_name: University of Guam/Marine Laboratory [UOG]
C37 # collaborator_url: http://www.uog.edu/marinelab
C38 # comment: 
C39   DATE  TIME       DATE  TIME           ethane    ND      SD     F CS       REM
2005-06-01 04:00 9999-99-99 99:99 -99999999999.999 -9999 -99999.   A..  0   2181-99
2005-06-01 04:00 9999-99-99 99:99 -99999999999.999 -9999 -99999.   A..  0   3004-99
2005-06-03 07:05 9999-99-99 99:99          529.809 -9999 -99999.   ...  0   2182-99
2005-06-03 07:05 9999-99-99 99:99          468.964 -9999 -99999.   ...  0   3003-99
2005-06-14 04:28 9999-99-99 99:99          258.131 -9999 -99999.   ...  0    286-99
2005-06-16 04:35 9999-99-99 99:99 -99999999999.999 -9999 -99999.   A..  0   1269-99
2005-06-16 04:35 9999-99-99 99:99          617.559 -9999 -99999.   ...  0   1270-99
2005-06-22 03:30 9999-99-99 99:99 -99999999999.999 -9999 -99999.   A..  0    237-99
2005-06-22 03:30 9999-99-99 99:99 -99999999999.999 -9999 -99999.   A..  0    238-99
2005-06-24 05:05 9999-99-99 99:99          376.176 -9999 -99999.   ...  0   1909-99
2005-06-24 05:05 9999-99-99 99:99          339.072 -9999 -99999.   ...  0   1910-99
2005-07-20 01:30 9999-99-99 99:99         1746.471 -9999 -99999.   .X.  0    325-99
2005-07-20 01:30 9999-99-99 99:99         1660.317 -9999 -99999.   .X.  0    326-99
2005-07-22 02:18 9999-99-99 99:99         1708.959 -9999 -99999.   .X.  0    337-99
2005-07-22 02:18 9999-99-99 99:99         1596.267 -9999 -99999.   .X.  0    338-99
2005-07-25 22:00 9999-99-99 99:99 -99999999999.999 -9999 -99999.   A..  0   6572-66
2005-07-25 22:00 9999-99-99 99:99 -99999999999.999 -9999 -99999.   A..  0   6903-66
2005-07-27 21:45 9999-99-99 99:99          642.621 -9999 -99999.   ...  0   6571-66
2005-07-27 21:45 9999-99-99 99:99 -99999999999.999 -9999 -99999.   A..  0   6904-66
2005-08-02 05:50 9999-99-99 99:99          846.290 -9999 -99999.   ...  0   1843-99
2005-08-02 05:50 9999-99-99 99:99          782.240 -9999 -99999.   ...  0   1844-99
2005-08-04 01:00 9999-99-99 99:99 -99999999999.999 -9999 -99999.   A..  0   6365-66
