"Station  name","WDCGG ID","GAW Category","Country","Category","Platform","Latitude","Longitude","Altitude","Parameter1","Parameter2","Sampling height","Sampling type","Current Scale","Data period(start)","Data period(end)","Last update","Situation","Measurement method","Sampling frequency","Contributor1","Country1","Contributor2","Country2","END"
"Alert","ALT482N00-NOAA","Global","Canada","Stationary","Ground base","82.45","-62.52","210","VOCs","2-methylbutane","","flask","","2005-09-07","2015-06-18","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Alert","ALT482N00-NOAA","Global","Canada","Stationary","Ground base","82.45","-62.52","210","VOCs","2-methylpropane","","flask","","2005-09-07","2015-06-18","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Alert","ALT482N00-NOAA","Global","Canada","Stationary","Ground base","82.45","-62.52","210","VOCs","ethane","","flask","","2005-09-07","2015-06-18","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Alert","ALT482N00-NOAA","Global","Canada","Stationary","Ground base","82.45","-62.52","210","VOCs","n-butane","","flask","","2005-09-07","2015-06-18","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Alert","ALT482N00-NOAA","Global","Canada","Stationary","Ground base","82.45","-62.52","210","VOCs","n-pentane","","flask","","2005-09-07","2015-06-18","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Alert","ALT482N00-NOAA","Global","Canada","Stationary","Ground base","82.45","-62.52","210","VOCs","propane","","flask","","2005-09-07","2015-06-18","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Amsterdam Island","AMS137S00-LSCE","Global","France","Stationary","Ground base","-37.8","77.53","55","VOCs","dimethylsulfide","70","flask","Atmospheric DMS concentrations expressed in pptv (party per trillion by volume).","1987-03-01","2008-12-31","2009-07-16","ongoing","Gas Chromatography (other)","Atmospheric dimethysulfide (DMS): One sample taken every day at 08:00 LT since 1987.","Laboratoire des Sciences du Climat et de l'Environnement","France"," "," ","END"
"Arembepe","ABP312S00-NOAA","Global","Brazil","Stationary","Ground base","-12.77","-38.17","0","VOCs","2-methylbutane","","flask","","2006-10-27","2010-01-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Arembepe","ABP312S00-NOAA","Global","Brazil","Stationary","Ground base","-12.77","-38.17","0","VOCs","2-methylpropane","","flask","","2006-10-27","2010-01-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Arembepe","ABP312S00-NOAA","Global","Brazil","Stationary","Ground base","-12.77","-38.17","0","VOCs","ethane","","flask","","2006-10-27","2010-01-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Arembepe","ABP312S00-NOAA","Global","Brazil","Stationary","Ground base","-12.77","-38.17","0","VOCs","n-butane","","flask","","2006-10-27","2010-01-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Arembepe","ABP312S00-NOAA","Global","Brazil","Stationary","Ground base","-12.77","-38.17","0","VOCs","n-pentane","","flask","","2006-10-27","2010-01-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Arembepe","ABP312S00-NOAA","Global","Brazil","Stationary","Ground base","-12.77","-38.17","0","VOCs","propane","","flask","","2006-10-27","2010-01-13","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Argyle","AMT445N00-NOAA","Contributing","United States of America","Stationary","Ground base","45.03","-68.68","50","VOCs","2-methylbutane","","flask","","2004-02-25","2008-12-21","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Argyle","AMT445N00-NOAA","Contributing","United States of America","Stationary","Ground base","45.03","-68.68","50","VOCs","2-methylpropane","","flask","","2004-02-25","2008-12-21","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Argyle","AMT445N00-NOAA","Contributing","United States of America","Stationary","Ground base","45.03","-68.68","50","VOCs","ethane","","flask","","2004-02-25","2008-12-21","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Argyle","AMT445N00-NOAA","Contributing","United States of America","Stationary","Ground base","45.03","-68.68","50","VOCs","n-butane","","flask","","2004-02-25","2008-12-21","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
"Argyle","AMT445N00-NOAA","Contributing","United States of America","Stationary","Ground base","45.03","-68.68","50","VOCs","n-pentane","","flask","","2004-02-25","2008-12-21","2015-12-03","ongoing","Gas Chromatography (FID)","","Earth System Research Laboratory, NOAA","United States of America"," "," ","END"
