monthly mean of baseline data, created: 20-Jan-2016
GC-MD, Cape Grim, Tasmania, Lat.:, -40.68, 40.68S, Lon.:, 144.69, 144.69E, Alt:, 94, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 

scale:, ---, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-98, ---, ---, SIO-05, ---, ---, Tohoku-Uni, ---, ---, SIO-98, ---, ---, CSIRO94, ---, ---, MPI-2009, ---
unit:, ---, ---, ---, ppt, ---, ---, ppt, ---, ---, ppt, ---, ---, ppt, ---, ---, ppb, ---, ---, ppt, ---, ---, ppb, ---, ---, ppt, ---, ---, ppb, ---, ---, ppb, ---
time, year, month, num, CFC-11, std. dev., num, CFC-12, std. dev., num, CH3CCl3, std. dev., num, CCl4, std. dev., num, N2O, std. dev., num, CFC-113, std. dev., num, CH4, std. dev., num, CHCl3, std. dev., num, CO, std. dev., num, H2, std. dev.
1993.6250, 1993, 8, 537, 261.384, 0.394, 527, 509.135, 0.766, 575, 114.888, 1.824, 621, 101.426, 0.711, 466, 309.826, 0.268, 585, 80.519, 0.471, 397, 1701.194, 1.364, , , , 253, 60.425, 1.420, 537, 518.850, 9.242
1993.7084, 1993, 9, 614, 261.431, 0.314, 567, 509.494, 0.607, 637, 114.487, 1.484, 701, 101.432, 0.608, 609, 309.889, 0.221, 681, 80.811, 0.397, 486, 1701.619, 1.236, , , , 452, 60.663, 1.328, 731, 522.368, 8.525
1993.7916, 1993, 10, 867, 261.511, 0.290, 818, 510.087, 0.594, 773, 114.669, 1.721, 907, 101.429, 0.636, 855, 309.974, 0.193, 909, 81.047, 0.431, 804, 1700.620, 1.559, , , , 643, 58.845, 1.176, 928, 529.120, 9.260
1993.8750, 1993, 11, 779, 261.563, 0.272, 690, 510.636, 0.493, 646, 114.211, 1.815, 813, 101.390, 0.703, 795, 310.070, 0.170, 821, 81.192, 0.390, 675, 1695.961, 2.486, , , , 591, 54.388, 2.095, 719, 531.665, 10.203
1993.9584, 1993, 12, 894, 261.564, 0.275, 869, 511.078, 0.443, 688, 113.416, 1.557, 917, 101.540, 0.646, 877, 310.133, 0.171, 911, 81.155, 0.489, 812, 1688.347, 3.282, , , , 652, 48.362, 1.577, 971, 534.443, 6.729
1994.0416, 1994, 1, 909, 261.534, 0.296, 848, 511.394, 0.499, 741, 112.274, 1.753, 916, 101.600, 0.770, 922, 310.194, 0.166, 914, 81.179, 0.528, 838, 1680.721, 3.148, , , , 800, 45.098, 0.845, 985, 537.673, 6.463
1994.1250, 1994, 2, 851, 261.542, 0.293, 787, 512.224, 0.608, 776, 111.011, 1.450, 477, 101.752, 0.785, 842, 310.103, 0.176, 861, 81.305, 0.562, 715, 1675.006, 2.176, , , , 468, 42.843, 1.042, 880, 537.341, 6.145
1994.2084, 1994, 3, 826, 261.583, 0.340, 840, 512.436, 0.892, 804, 109.238, 1.069, 653, 101.225, 0.406, 857, 310.121, 0.182, 875, 81.383, 0.411, 598, 1675.479, 2.411, 310, 5.341, 0.836, 402, 43.966, 1.017, 857, 537.296, 6.646
1994.2916, 1994, 4, 709, 261.732, 0.457, 719, 513.234, 0.886, 743, 108.625, 0.607, 807, 101.211, 0.390, 792, 310.164, 0.314, 794, 81.455, 0.265, 667, 1681.478, 2.745, 522, 5.285, 0.469, 432, 47.019, 1.023, 915, 535.063, 6.684
1994.3750, 1994, 5, 767, 261.779, 0.520, 777, 513.761, 0.940, 768, 108.568, 0.738, 833, 101.055, 0.404, 887, 310.168, 0.312, 827, 81.525, 0.295, 632, 1687.790, 2.994, 454, 5.696, 0.482, 456, 49.495, 1.030, 845, 530.898, 7.291
1994.4584, 1994, 6, 746, 261.809, 0.399, 707, 514.309, 0.826, 653, 108.497, 0.505, 783, 100.845, 0.333, 787, 310.179, 0.299, 776, 81.631, 0.250, 536, 1695.609, 2.782, 225, 6.249, 0.447, 283, 53.424, 0.944, 774, 525.604, 8.659
1994.5416, 1994, 7, 770, 262.157, 0.323, 753, 515.034, 0.792, 770, 107.775, 0.524, 853, 100.662, 0.397, 841, 310.156, 0.358, 793, 81.547, 0.496, 625, 1701.354, 2.361, 488, 6.342, 0.466, 550, 54.356, 1.307, 797, 525.437, 7.798
1994.6250, 1994, 8, 899, 262.339, 0.334, 875, 515.791, 0.871, 862, 107.442, 0.434, 905, 100.514, 0.353, 902, 310.236, 0.299, 892, 81.881, 0.494, 709, 1705.139, 2.257, 588, 6.452, 0.478, 664, 57.310, 1.519, 933, 525.793, 7.598
1994.7084, 1994, 9, 882, 262.443, 0.315, 858, 516.629, 0.713, 854, 106.953, 0.449, 917, 100.432, 0.376, 887, 310.444, 0.290, 912, 82.388, 0.256, 553, 1708.073, 1.534, 605, 6.435, 0.458, 643, 61.445, 1.560, 917, 528.332, 8.452
1994.7916, 1994, 10, 854, 262.516, 0.302, 822, 517.285, 0.651, 833, 106.029, 0.536, 945, 100.390, 0.334, 927, 310.580, 0.315, 912, 82.434, 0.265, 737, 1707.292, 1.733, 479, 6.437, 0.414, 633, 63.934, 1.439, 969, 533.911, 10.156
1994.8750, 1994, 11, 839, 262.502, 0.313, 789, 517.810, 0.701, 836, 104.983, 0.631, 827, 100.368, 0.335, 837, 310.695, 0.300, 839, 82.483, 0.263, 708, 1703.574, 2.264, 592, 6.227, 0.509, 604, 55.219, 4.343, 842, 538.196, 8.703
1994.9584, 1994, 12, 901, 262.421, 0.314, 827, 518.325, 0.669, 876, 103.419, 0.750, 953, 100.424, 0.333, 915, 310.862, 0.336, 955, 82.342, 0.267, 807, 1696.992, 3.276, 487, 6.116, 0.461, 861, 49.030, 1.299, 988, 540.125, 7.623
1995.0416, 1995, 1, 924, 262.294, 0.322, 880, 518.755, 0.741, 842, 101.818, 0.788, 946, 100.392, 0.313, 935, 310.878, 0.293, 964, 82.311, 0.237, 718, 1690.936, 3.013, 211, 5.858, 0.526, 483, 46.087, 1.072, 787, 539.896, 7.663
1995.1250, 1995, 2, 786, 262.077, 0.366, 751, 518.777, 0.736, 819, 100.617, 0.586, 849, 100.323, 0.310, 827, 310.715, 0.343, 829, 82.370, 0.220, 597, 1685.919, 1.726, 352, 5.403, 0.414, 435, 43.683, 0.633, 671, 540.920, 8.217
1995.2084, 1995, 3, 297, 262.291, 0.465, 817, 519.154, 0.735, 823, 99.578, 0.432, 837, 100.194, 0.325, 599, 310.525, 0.443, 833, 82.545, 0.259, 709, 1685.416, 1.531, 533, 5.534, 0.421, 609, 43.072, 0.666, 815, 541.614, 13.078
1995.2916, 1995, 4, 374, 261.362, 0.554, 810, 519.347, 0.754, 827, 99.492, 0.412, 894, 100.019, 0.319, 840, 310.554, 0.435, 363, 82.348, 0.413, 563, 1688.659, 2.737, 436, 5.365, 0.464, 472, 45.251, 2.127, 799, 540.313, 14.080
