monthly mean of all (including pollution) data, created: 20-Jan-2016
GC-ECD, Cape Grim, Tasmania, Lat.: -40.68, 40.68S, Lon.:, 144.69, 144.69E, Alt:, 94, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication."
CONTACT POINT: paul.krummel@csiro.au; paul.fraser@csiro.au; raywang@eas.gatech.edu 

scale:, ---, ---, ---, SIO-05, ---
unit:, ---, ---, ---, ppt, ---
time, year, month, num, SF6, std. dev.
2001.5416, 2001, 7, 242, 4.608, 0.041
2001.6250, 2001, 8, 1067, 4.622, 0.047
2001.7084, 2001, 9, 1038, 4.639, 0.043
2001.7916, 2001, 10, 1324, 4.650, 0.042
2001.8750, 2001, 11, 937, 4.664, 0.043
2001.9584, 2001, 12, 856, 4.668, 0.041
2002.0416, 2002, 1, , , 
2002.1250, 2002, 2, 900, 4.705, 0.042
2002.2084, 2002, 3, 1435, 4.724, 0.042
2002.2916, 2002, 4, 1507, 4.742, 0.044
2002.3750, 2002, 5, 1703, 4.768, 0.049
2002.4584, 2002, 6, 1463, 4.786, 0.047
2002.5416, 2002, 7, 1520, 4.805, 0.050
2002.6250, 2002, 8, 1559, 4.830, 0.049
2002.7084, 2002, 9, 1618, 4.845, 0.047
2002.7916, 2002, 10, 1598, 4.865, 0.043
2002.8750, 2002, 11, 1629, 4.891, 0.048
2002.9584, 2002, 12, 1569, 4.903, 0.045
2003.0416, 2003, 1, 1443, 4.912, 0.041
2003.1250, 2003, 2, 1521, 4.929, 0.038
2003.2084, 2003, 3, 1671, 4.950, 0.045
2003.2916, 2003, 4, 229, 4.957, 0.043
2003.3750, 2003, 5, 399, 4.997, 0.059
2003.4584, 2003, 6, 1419, 5.004, 0.059
2003.5416, 2003, 7, 1465, 5.028, 0.065
2003.6250, 2003, 8, 1441, 5.051, 0.066
2003.7084, 2003, 9, 1093, 5.066, 0.073
2003.7916, 2003, 10, 1413, 5.081, 0.057
2003.8750, 2003, 11, 1399, 5.092, 0.056
2003.9584, 2003, 12, 1362, 5.101, 0.054
2004.0416, 2004, 1, 1459, 5.112, 0.051
2004.1250, 2004, 2, 1354, 5.124, 0.051
2004.2084, 2004, 3, 1423, 5.150, 0.058
2004.2916, 2004, 4, 1360, 5.182, 0.054
2004.3750, 2004, 5, 1428, 5.215, 0.062
2004.4584, 2004, 6, 1393, 5.234, 0.058
2004.5416, 2004, 7, 1436, 5.266, 0.057
2004.6250, 2004, 8, 1204, 5.296, 0.065
2004.7084, 2004, 9, 549, 5.298, 0.056
2004.7916, 2004, 10, , , 
2004.8750, 2004, 11, , , 
2004.9584, 2004, 12, 561, 5.344, 0.060
2005.0416, 2005, 1, 645, 5.353, 0.055
2005.1250, 2005, 2, 997, 5.370, 0.056
2005.2084, 2005, 3, 1461, 5.390, 0.051
2005.2916, 2005, 4, 1241, 5.421, 0.058
2005.3750, 2005, 5, 1474, 5.444, 0.058
2005.4584, 2005, 6, 1416, 5.478, 0.104
2005.5416, 2005, 7, 1419, 5.478, 0.051
2005.6250, 2005, 8, 1444, 5.498, 0.057
2005.7084, 2005, 9, 730, 5.525, 0.059
2005.7916, 2005, 10, 1456, 5.540, 0.049
2005.8750, 2005, 11, 1241, 5.557, 0.048
2005.9584, 2005, 12, 813, 5.571, 0.055
2006.0416, 2006, 1, 874, 5.594, 0.057
2006.1250, 2006, 2, 1196, 5.601, 0.051
2006.2084, 2006, 3, 1334, 5.626, 0.054
2006.2916, 2006, 4, 1295, 5.646, 0.054
2006.3750, 2006, 5, 772, 5.673, 0.053
2006.4584, 2006, 6, 1385, 5.702, 0.060
2006.5416, 2006, 7, 1177, 5.728, 0.054
2006.6250, 2006, 8, 1132, 5.739, 0.065
2006.7084, 2006, 9, 1014, 5.762, 0.069
2006.7916, 2006, 10, 1214, 5.769, 0.060
2006.8750, 2006, 11, 1271, 5.785, 0.059
2006.9584, 2006, 12, 1145, 5.794, 0.062
2007.0416, 2007, 1, 1255, 5.816, 0.058
2007.1250, 2007, 2, 1173, 5.837, 0.060
2007.2084, 2007, 3, 1137, 5.854, 0.060
2007.2916, 2007, 4, 1351, 5.882, 0.057
2007.3750, 2007, 5, 1008, 5.914, 0.067
2007.4584, 2007, 6, 1199, 5.920, 0.059
2007.5416, 2007, 7, 1295, 5.965, 0.065
2007.6250, 2007, 8, 1411, 6.000, 0.067
2007.7084, 2007, 9, 946, 6.016, 0.065
2007.7916, 2007, 10, 1025, 6.049, 0.080
2007.8750, 2007, 11, 1432, 6.063, 0.059
2007.9584, 2007, 12, 1368, 6.075, 0.057
2008.0416, 2008, 1, 1304, 6.092, 0.058
2008.1250, 2008, 2, 1285, 6.116, 0.056
2008.2084, 2008, 3, 1401, 6.140, 0.060
2008.2916, 2008, 4, 1215, 6.174, 0.057
2008.3750, 2008, 5, 1398, 6.199, 0.070
2008.4584, 2008, 6, 1059, 6.219, 0.058
2008.5416, 2008, 7, 1448, 6.241, 0.080
2008.6250, 2008, 8, 1422, 6.274, 0.075
2008.7084, 2008, 9, 1395, 6.304, 0.076
2008.7916, 2008, 10, 1445, 6.334, 0.075
2008.8750, 2008, 11, 1172, 6.335, 0.071
2008.9584, 2008, 12, 1134, 6.352, 0.076
2009.0416, 2009, 1, 1230, 6.370, 0.059
2009.1250, 2009, 2, 1108, 6.380, 0.051
2009.2084, 2009, 3, 802, 6.426, 0.044
2009.2916, 2009, 4, 1397, 6.459, 0.044
2009.3750, 2009, 5, 1455, 6.487, 0.043
2009.4584, 2009, 6, 1361, 6.515, 0.044
2009.5416, 2009, 7, 287, 6.516, 0.038
