monthly mean of baseline data, created: 20-Jan-2016
GC-MD, Mace Head, Ireland, Lat.:, 53.33, 53.33N, Lon.:, -9.9, 9.9W, Alt:, 5, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: s.odoherty@bristol.ac.uk; dickon.young@bristol.ac.uk; raywang@eas.gatech.edu 

scale:, ---, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-98, ---, ---, SIO-05, ---, ---, Tohoku-Uni, ---, ---, SIO-98, ---, ---, CSIRO94, ---, ---, MPI-2009, ---
unit:, ---, ---, ---, ppt, ---, ---, ppt, ---, ---, ppt, ---, ---, ppt, ---, ---, ppb, ---, ---, ppt, ---, ---, ppb, ---, ---, ppt, ---, ---, ppb, ---, ---, ppb, ---
time, year, month, num, CFC-11, std. dev., num, CFC-12, std. dev., num, CH3CCl3, std. dev., num, CCl4, std. dev., num, N2O, std. dev., num, CFC-113, std. dev., num, CH4, std. dev., num, CHCl3, std. dev., num, CO, std. dev., num, H2, std. dev.
1994.2084, 1994, 3, 616, 268.401, 0.597, 648, 528.438, 1.140, 605, 130.699, 1.827, 605, 103.392, 0.572, 649, 311.656, 0.193, 638, 84.448, 0.524, 725, 1817.063, 13.515, 596, 11.895, 1.465, 656, 159.158, 11.403, 410, 526.526, 4.446
1994.2916, 1994, 4, 871, 268.476, 0.497, 843, 528.817, 0.829, 877, 130.817, 1.789, 861, 103.459, 0.483, 780, 311.673, 0.185, 884, 84.555, 0.552, 879, 1822.248, 13.972, 777, 12.310, 1.399, 826, 158.252, 16.259, 839, 528.838, 4.362
1994.3750, 1994, 5, 399, 268.443, 0.397, 365, 529.121, 0.667, 469, 130.605, 1.175, 783, 103.560, 0.411, 345, 311.747, 0.182, 622, 84.861, 0.524, 301, 1818.762, 9.149, 426, 12.456, 1.254, , , , , , 
1994.4584, 1994, 6, 687, 267.971, 0.292, 654, 528.029, 0.664, 681, 127.155, 1.311, 743, 103.412, 0.335, 593, 311.590, 0.158, 694, 84.344, 0.523, 672, 1805.058, 8.159, 675, 11.731, 1.101, 506, 94.608, 7.449, 684, 518.008, 7.946
1994.5416, 1994, 7, 782, 267.629, 0.339, 702, 528.160, 0.592, 778, 124.471, 1.371, 942, 103.184, 0.341, 644, 311.441, 0.206, 850, 84.569, 0.327, 699, 1801.217, 6.773, 792, 12.555, 1.144, 791, 82.671, 3.621, 978, 505.254, 8.900
1994.6250, 1994, 8, 789, 267.357, 0.290, 714, 528.703, 0.605, 809, 121.371, 1.188, 891, 103.001, 0.351, 680, 311.385, 0.167, 864, 84.440, 0.281, 665, 1802.897, 8.692, 685, 12.449, 1.374, 771, 95.642, 7.478, 791, 498.849, 11.612
1994.7084, 1994, 9, 697, 267.662, 0.353, 702, 530.159, 0.875, 697, 119.433, 1.568, 908, 103.043, 0.344, 704, 311.523, 0.192, 778, 84.429, 0.287, 689, 1811.860, 16.807, 666, 12.566, 1.898, 686, 105.431, 9.123, 808, 495.481, 7.770
1994.7916, 1994, 10, 498, 268.236, 0.559, 557, 531.871, 1.257, 496, 120.130, 1.239, 702, 103.193, 0.427, 547, 311.756, 0.272, 535, 84.648, 0.345, 586, 1828.098, 11.440, 584, 13.761, 1.537, 544, 111.407, 7.631, 674, 495.305, 9.168
1994.8750, 1994, 11, 650, 268.483, 0.426, 691, 532.582, 1.016, 703, 119.651, 2.096, 799, 103.147, 0.412, 638, 312.012, 0.183, 680, 84.637, 0.395, 713, 1822.764, 16.861, 640, 13.776, 1.666, 702, 114.149, 9.466, 782, 495.895, 8.934
1994.9584, 1994, 12, 854, 268.272, 0.588, 832, 532.197, 1.078, 821, 118.238, 1.768, 915, 103.054, 0.566, 842, 312.118, 0.189, 834, 84.857, 0.416, 886, 1823.643, 15.599, 774, 13.047, 1.494, 795, 120.374, 11.499, 871, 502.698, 8.578
1995.0416, 1995, 1, 785, 268.027, 0.498, 788, 531.943, 1.036, 769, 117.167, 1.696, 836, 102.797, 0.501, 725, 312.223, 0.181, 811, 84.847, 0.361, 790, 1821.804, 15.855, 707, 12.996, 1.375, 491, 128.333, 12.588, 501, 509.815, 11.088
1995.1250, 1995, 2, 737, 267.803, 0.418, 719, 531.851, 0.937, 717, 116.636, 1.523, 790, 102.652, 0.527, 714, 312.274, 0.178, 741, 84.887, 0.363, 756, 1825.813, 16.512, 680, 13.333, 1.447, 463, 147.365, 8.896, 443, 517.330, 6.335
1995.2084, 1995, 3, 923, 267.789, 0.426, 917, 532.284, 0.841, 915, 116.637, 1.524, 960, 102.608, 0.477, 887, 312.333, 0.185, 931, 85.024, 0.347, 960, 1830.163, 15.736, 897, 13.489, 1.395, 911, 151.066, 10.805, 843, 522.101, 5.217
1995.2916, 1995, 4, 606, 267.689, 0.387, 578, 532.497, 0.739, 636, 116.406, 1.546, 806, 102.680, 0.467, 497, 312.391, 0.178, 749, 85.094, 0.388, 640, 1830.651, 17.315, 545, 13.521, 1.437, 517, 148.999, 12.877, 593, 526.420, 5.677
1995.3750, 1995, 5, 812, 267.044, 0.372, 744, 532.236, 0.634, 783, 115.247, 1.433, 912, 102.699, 0.395, 688, 312.452, 0.183, 873, 84.798, 0.365, 832, 1821.789, 11.878, 761, 11.792, 1.165, 775, 132.434, 9.038, 937, 526.936, 5.545
1995.4584, 1995, 6, 615, 266.673, 0.316, 560, 532.315, 0.526, 705, 112.650, 1.716, 835, 102.653, 0.354, 595, 312.361, 0.166, 716, 84.564, 0.451, 620, 1805.949, 12.395, 526, 10.782, 1.127, 668, 107.761, 7.413, 864, 523.508, 9.157
1995.5416, 1995, 7, 673, 266.195, 0.355, 604, 532.552, 0.602, 717, 109.759, 2.042, 853, 102.493, 0.384, 642, 312.130, 0.220, 771, 84.360, 0.442, 720, 1803.507, 19.226, 601, 10.704, 1.425, 382, 99.703, 9.340, 780, 519.311, 10.515
1995.6250, 1995, 8, 510, 265.939, 0.305, 484, 533.241, 0.650, 553, 106.846, 1.559, 772, 102.356, 0.458, 538, 311.948, 0.206, 585, 84.412, 0.306, 573, 1807.624, 14.642, 491, 11.375, 1.414, 455, 98.158, 7.060, 884, 508.134, 11.197
1995.7084, 1995, 9, 587, 266.124, 0.318, 494, 534.017, 0.599, 678, 106.127, 1.289, 843, 102.404, 0.418, 544, 312.089, 0.196, 786, 84.451, 0.297, 584, 1820.902, 13.371, 523, 12.280, 1.469, 383, 98.398, 6.208, 862, 492.217, 11.809
1995.7916, 1995, 10, 828, 266.311, 0.340, 803, 535.002, 0.673, 858, 105.047, 0.936, 897, 102.185, 0.374, 678, 312.226, 0.185, 863, 84.402, 0.284, 796, 1823.583, 10.730, 738, 12.586, 1.471, 730, 105.576, 6.961, 830, 488.687, 9.689
1995.8750, 1995, 11, 636, 266.669, 0.347, 602, 536.074, 0.679, 565, 104.945, 0.979, 822, 102.254, 0.385, 561, 312.540, 0.230, 699, 84.594, 0.262, 528, 1835.577, 14.998, 550, 14.147, 1.934, 333, 123.534, 7.050, 795, 490.779, 9.952
