monthly mean of baseline data, created: 20-Jan-2016
GC-MD, Trinidad Head, California, Lat.:, 41.05, 41.05N, Lon.:, -124.15, 124.15W, Alt:, 107, m above sea level
 
CREDIT FOR USE: This is a formal notification for data users. 
For scientific purposes access to these data is unlimited and 
provided without charge. By their use you accept that an offer 
of co-authorship will be made through personal contact with the
data providers or owners whenever substantial use is made of 
their data. In all cases an acknowledgement must be made to the
data providers or owners and the data centre when these data are
used within a publication.
CONTACT POINT: rfweiss@ucsd.edu; charth@ucsd.edu; raywang@eas.gatech.edu 

scale:, ---, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-05, ---, ---, SIO-98, ---, ---, SIO-05, ---, ---, Tohoku-Uni, ---, ---, SIO-98, ---
unit:, ---, ---, ---, ppt, ---, ---, ppt, ---, ---, ppt, ---, ---, ppt, ---, ---, ppb, ---, ---, ppt, ---, ---, ppb, ---, ---, ppt, ---
time, year, month, num, CFC-11, std. dev., num, CFC-12, std. dev., num, CH3CCl3, std. dev., num, CCl4, std. dev., num, N2O, std. dev., num, CFC-113, std. dev., num, CH4, std. dev., num, CHCl3, std. dev.
1995.7916, 1995, 10, 822, 267.037, 0.401, 571, 536.263, 0.889, 751, 104.586, 1.076, 944, 101.969, 0.321, 792, 312.590, 0.283, , , , 872, 1824.971, 13.170, 647, 14.559, 1.613
1995.8750, 1995, 11, 793, 267.007, 0.420, 545, 536.210, 0.808, 676, 103.534, 1.089, 916, 101.984, 0.284, 805, 312.593, 0.238, , , , 842, 1822.788, 12.875, 592, 14.000, 1.299
1995.9584, 1995, 12, 842, 266.676, 0.366, 706, 535.828, 0.922, 769, 102.345, 1.253, 855, 101.852, 0.270, 838, 312.615, 0.213, 495, 84.473, 0.234, 843, 1815.826, 14.097, 813, 13.228, 1.263
1996.0416, 1996, 1, 900, 266.563, 0.359, 779, 535.890, 0.784, 883, 101.705, 1.133, 937, 101.738, 0.284, 895, 312.703, 0.221, 924, 84.454, 0.212, 818, 1822.989, 19.733, 870, 12.998, 1.149
1996.1250, 1996, 2, 759, 266.525, 0.353, 593, 536.231, 0.807, 721, 101.402, 0.975, 888, 101.755, 0.284, 787, 312.890, 0.205, 794, 84.531, 0.233, 811, 1826.646, 17.331, 774, 13.057, 1.050
1996.2084, 1996, 3, 852, 266.279, 0.362, 760, 536.206, 0.746, 843, 100.504, 1.124, 883, 101.499, 0.390, 854, 313.003, 0.229, 856, 84.518, 0.215, 924, 1828.807, 11.201, 825, 13.125, 0.988
1996.2916, 1996, 4, 879, 266.181, 0.358, 832, 536.160, 0.780, 898, 99.308, 1.018, 884, 101.661, 0.348, 899, 313.143, 0.240, 904, 84.504, 0.215, 895, 1825.234, 11.364, 835, 12.940, 1.092
1996.3750, 1996, 5, 843, 266.268, 0.395, 803, 536.776, 0.775, 844, 98.292, 0.842, 874, 101.712, 0.295, 781, 313.600, 0.289, 875, 84.354, 0.268, 863, 1821.139, 12.082, 736, 12.501, 1.222
